label,x_um,y_um,z_um,fwhm_x_um,fwhm_y_um,fwhm_xy_um,fwhm_z_um,sigma_xy_um,sigma_z_um,peak,integrated,halo_fraction
225,230.25,230.25,171,0.519851,0.519815,0.519833,4.5015,0.840832,17.6148,218.237,72707.2,0.996058
226,25.75,25.75,192,0.520752,0.520736,0.520744,4.54704,0.8497,16.9502,212.131,72840.3,0.996191
227,76.75,25.75,192,0.520815,0.520762,0.520789,4.54911,0.840406,16.9535,211.945,72809.1,0.996191
228,128.25,25.75,192,0.520615,0.520851,0.520733,4.55251,0.840386,16.9507,212.393,72928.7,0.996191
229,179.25,25.75,192,0.520676,0.520868,0.520772,4.55096,0.829988,16.9527,211.942,72875,0.996194
230,230.25,25.75,192,0.520757,0.520821,0.520789,4.55004,0.845792,16.9528,212.087,72859.7,0.996192
231,25.75,76.75,192,0.520869,0.52077,0.520819,4.54977,0.852442,16.9528,212.088,72870.2,0.996192
232,76.75,76.75,192,0.520816,0.520672,0.520744,4.54798,0.846768,16.951,212.173,72864,0.996192
233,128.25,76.75,192,0.520791,0.520757,0.520774,4.54996,0.844675,16.9517,212.134,72869,0.996192
234,179.25,76.75,192,0.520747,0.520835,0.520791,4.54988,0.847531,16.9524,212.195,72945,0.996195
235,230.25,76.75,192,0.520783,0.520684,0.520734,4.55107,0.831211,16.951,212.156,72869.1,0.996191
236,25.75,128.25,192,0.520705,0.520852,0.520778,4.55238,0.829652,16.9518,211.959,72834,0.996191
237,76.75,128.25,192,0.520877,0.520736,0.520807,4.54895,0.852792,16.9522,212.124,72875.8,0.996193
238,128.25,128.25,192,0.520804,0.520774,0.520789,4.5499,0.841557,16.9534,212.012,72849.4,0.996193
239,179.25,128.25,192,0.520749,0.520736,0.520742,4.54891,0.850619,16.9505,212.324,72945.8,0.996194
240,230.25,128.25,192,0.520718,0.520816,0.520767,4.54912,0.836469,16.9519,211.942,72790.4,0.99619
241,25.75,179.25,192,0.520601,0.520808,0.520705,4.55193,0.837432,16.9496,212.43,72981.9,0.996194
242,76.75,179.25,192,0.520691,0.520683,0.520687,4.55045,0.839906,16.948,212.308,72916.8,0.996192
